scope,city,province,rate,freeAbove,excluded,active
city,A.B.S.Hospital TSO,,0,,yes,yes
city,A.I Town NPO (Cpol -1199),,0,,yes,yes
city,AFMSD Nowshera PO,,0,,yes,yes
city,ASC Sentre Nowshera PO,,0,,yes,yes
city,Abbot Road TSO,,0,,yes,yes
city,Abbottabad Cantt. PO,,0,,yes,yes
city,Abbottabad Kutchery PO,,0,,yes,yes
city,Abbottabad NPO,,0,,yes,yes
city,Abid Shaheed Rd. TSO,,0,,yes,yes
city,Adda Chabeel PO,,0,,yes,yes
city,Agha Qadirdad Market PO,,0,,yes,yes
city,Aghburg PO,,0,,yes,yes
city,Agriculture House PO,,0,,yes,yes
city,Agriculture University Faisalabad,,0,,yes,yes
city,Ahsan Abad Post Office PO,,0,,yes,yes
city,"Air Port Chaklala, Rawalpindi PO",,0,,yes,yes
city,Akhtar Colony PO,,0,,yes,yes
city,Alamabad PO,,0,,yes,yes
city,Allama Iqbal Colony PO,,0,,yes,yes
city,Allama Iqbal Road PO,,0,,yes,yes
city,Almo Chowk PO,,0,,yes,yes
city,Amar Pura PO,,0,,yes,yes
city,Amc Abbottabad PO,,0,,yes,yes
city,Amer Sidhu PO,,0,,yes,yes
city,Amina Abad TSO,,0,,yes,yes
city,Army Air Defence Centre PO,,0,,yes,yes
city,Arsenal PO,,0,,yes,yes
city,Artilery School Nowshera PO,,0,,yes,yes
city,Attock Cantt PO,,0,,yes,yes
city,Attock City PO,,0,,yes,yes
city,Attock NPO,,0,,yes,yes
city,Ayub Agri Reasearch Institute PO,,0,,yes,yes
city,Azam Basti PO,,0,,yes,yes
city,Azam PO,,0,,yes,yes
city,B.I.S.E Sukkur PO,,0,,yes,yes
city,B.L Hotel Karachi NPO,,0,,yes,yes
city,B.L Hotel Karachi PO,,0,,yes,yes
city,Babarloi PO,,0,,yes,yes
city,Badami Bagh PO,,0,,yes,yes
city,Bagarji PO,,0,,yes,yes
city,Baghbanpura NPO,,0,,yes,yes
city,Baghdada PO,,0,,yes,yes
city,Bahadurabad NPO,,0,,yes,yes
city,Bahadurabad PO LSG,,0,,yes,yes
city,Bahawal Nagar Cantt PO,,0,,yes,yes
city,Bahawal Nagar City PO,,0,,yes,yes
city,Bahawal Nagar NPO,,0,,yes,yes
city,Bahawalpur NPO,,0,,yes,yes
city,Bakra Mandi PO,,0,,yes,yes
city,Baldia Block-9 PO,,0,,yes,yes
city,Balochistan University NPO,,0,,yes,yes
city,Balochistan University PO,,0,,yes,yes
city,Bannu Chowk NPO,,0,,yes,yes
city,Bannu Chowk SO,,0,,yes,yes
city,Bannu City NPO,,0,,yes,yes
city,Bannu NPO,,0,,yes,yes
city,Batala Colony SO,,0,,yes,yes
city,Bath Island NPO,,0,,yes,yes
city,Bath Island PO,,0,,yes,yes
city,Behar Colony PO,,0,,yes,yes
city,Behzadi Chikar Kot PO,,0,,yes,yes
city,Bhakkar City PO,,0,,yes,yes
city,Bhakkar Mandi PO,,0,,yes,yes
city,Bhalwal NPO,,0,,yes,yes
city,Bhawalpur Cantt NPO,,0,,yes,yes
city,Bhawalpur City PO,,0,,yes,yes
city,Bhawalpur Kutchery PO,,0,,yes,yes
city,Bickami PO,,0,,yes,yes
city,Bilal Gunj PO,,0,,yes,yes
city,Bilal Town SO,,0,,yes,yes
city,Bise Complex Abbotabad PO,,0,,yes,yes
city,Bise Sahiwal PO,,0,,yes,yes
